Status,Latitude,Longitude,BoltCount,ModuleCount,MMSCount,Torque,Timestamp
START,12.822891,77.687180,0,0,0,Start,18-02-2026 18:53:34
START,12.822828,77.687225,0,0,0,Start,18-02-2026 18:56:02
RUN,12.822828,77.687225,1,0,1,MMS,18-02-2026 18:56:02
RUN,12.822828,77.687225,2,0,2,MMS,18-02-2026 18:56:14
RUN,12.822828,77.687225,3,0,3,MMS,18-02-2026 18:56:19
RUN,12.822828,77.687225,4,1,3,Module,18-02-2026 18:56:22
RUN,12.822828,77.687225,5,2,3,Module,18-02-2026 18:56:42
RUN,12.822828,77.687225,6,3,3,Module,18-02-2026 18:57:33
RUN,12.822828,77.687225,7,3,4,MMS,18-02-2026 18:57:42
START,12.822922,77.687355,0,0,0,Start,18-02-2026 18:59:08
START,12.822852,77.687218,0,0,0,Start,18-02-2026 19:12:10
RUN,12.822852,77.687218,1,0,1,MMS,18-02-2026 19:12:34
RUN,12.822852,77.687218,2,0,2,MMS,18-02-2026 19:12:44
RUN,12.822852,77.687218,3,0,3,MMS,18-02-2026 19:12:47
RUN,12.822852,77.687218,4,1,3,Module,18-02-2026 19:12:58
RUN,12.822852,77.687218,5,2,3,Module,18-02-2026 19:13:05
RUN,12.822852,77.687218,6,3,3,Module,18-02-2026 19:13:08
START,12.822843,77.687103,0,0,0,Start,22-02-2026 11:26:34
START,12.822915,77.687248,0,0,0,Start,22-02-2026 11:29:45
RUN,12.822915,77.687248,1,1,0,Module,22-02-2026 11:29:54
RUN,12.822915,77.687248,2,2,0,Module,22-02-2026 11:30:04
RUN,12.822915,77.687248,3,3,0,Module,22-02-2026 11:30:07
RUN,12.822915,77.687248,4,4,0,Module,22-02-2026 11:30:15
RUN,12.822915,77.687248,5,4,1,MMS,22-02-2026 11:30:22
RUN,12.822915,77.687248,6,4,2,MMS,22-02-2026 11:30:27
RUN,12.822915,77.687248,7,4,3,MMS,22-02-2026 11:30:30
RUN,12.822915,77.687248,8,4,4,MMS,22-02-2026 11:30:43
RUN,12.822915,77.687248,9,4,5,MMS,22-02-2026 11:30:48
START,12.822845,77.687256,0,0,0,Start,22-02-2026 11:30:53
START,12.822844,77.687233,0,0,0,Start,22-02-2026 11:30:59
