Status,Latitude,Longitude,BoltCount,ModuleCount,MMSCount,Torque,Timestamp
START,28.338284,73.333458,0,0,0,Start,20-03-2026 06:26:04
START,28.337156,73.332512,0,0,0,Start,20-03-2026 06:29:56
START,28.337162,73.332581,0,0,0,Start,20-03-2026 06:30:13
START,28.337158,73.332626,0,0,0,Start,20-03-2026 06:30:20
START,28.337145,73.332664,0,0,0,Start,20-03-2026 06:30:26
START,28.337137,73.332710,0,0,0,Start,20-03-2026 06:30:35
START,28.337168,73.332710,0,0,0,Start,20-03-2026 06:31:12
START,28.337141,73.332718,0,0,0,Start,20-03-2026 06:31:56
START,28.337135,73.332726,0,0,0,Start,20-03-2026 06:32:16
START,28.337105,73.332687,0,0,0,Start,20-03-2026 06:32:21
START,28.337141,73.332733,0,0,0,Start,20-03-2026 06:32:56
START,28.337086,73.332771,0,0,0,Start,20-03-2026 06:33:04
START,28.337515,73.332954,0,0,0,Start,20-03-2026 06:35:57
START,28.337154,73.332634,0,0,0,Start,20-03-2026 06:36:34
START,28.337137,73.332642,0,0,0,Start,20-03-2026 06:36:55
RUN,28.337137,73.332642,1,0,0,NonM8,20-03-2026 06:37:04
RUN,28.337137,73.332642,2,0,0,NonM8,20-03-2026 06:37:21
RUN,28.337137,73.332642,3,0,0,NonM8,20-03-2026 06:37:42
RUN,28.337137,73.332642,4,0,0,NonM8,20-03-2026 06:37:48
RUN,28.337137,73.332642,5,0,0,NonM8,20-03-2026 06:38:04
RUN,28.337137,73.332642,6,0,0,NonM8,20-03-2026 06:38:07
RUN,28.337137,73.332642,7,0,0,NonM8,20-03-2026 06:38:14
RUN,28.337137,73.332642,8,0,0,NonM8,20-03-2026 06:38:18
RUN,28.337137,73.332642,9,0,0,NonM8,20-03-2026 06:38:23
RUN,28.337137,73.332642,10,0,0,NonM8,20-03-2026 06:38:26
RUN,28.337137,73.332642,11,0,0,NonM8,20-03-2026 06:38:51
RUN,28.337137,73.332642,12,0,0,NonM8,20-03-2026 06:38:56
RUN,28.337137,73.332642,13,0,0,NonM8,20-03-2026 06:39:01
RUN,28.337137,73.332642,14,0,0,NonM8,20-03-2026 06:39:04
RUN,28.337137,73.332642,15,0,0,NonM8,20-03-2026 06:39:07
RUN,28.337137,73.332642,16,0,0,NonM8,20-03-2026 06:39:09
RUN,28.337137,73.332642,17,0,0,NonM8,20-03-2026 06:39:12
RUN,28.337137,73.332642,18,0,0,NonM8,20-03-2026 06:39:17
RUN,28.337137,73.332642,19,0,0,NonM8,20-03-2026 06:39:25
RUN,28.337137,73.332642,20,0,0,NonM8,20-03-2026 06:39:48
RUN,28.337137,73.332642,21,0,0,NonM8,20-03-2026 06:39:53
RUN,28.337137,73.332642,22,0,0,NonM8,20-03-2026 06:40:00
RUN,28.337137,73.332642,23,0,0,NonM8,20-03-2026 06:40:13
RUN,28.337137,73.332642,24,0,0,NonM8,20-03-2026 06:40:16
RUN,28.337137,73.332642,25,0,0,NonM8,20-03-2026 06:40:25
RUN,28.337137,73.332642,26,0,0,NonM8,20-03-2026 06:40:33
RUN,28.337137,73.332642,27,0,0,NonM8,20-03-2026 06:40:36
START,28.337206,73.332802,0,0,0,Start,20-03-2026 06:43:11
START,28.337198,73.332809,0,0,0,Start,20-03-2026 06:43:19
RUN,28.337198,73.332809,1,0,0,NonM8,20-03-2026 06:43:39
START,28.337187,73.332794,0,0,0,Start,20-03-2026 06:45:55
START,28.337185,73.332771,0,0,0,Start,20-03-2026 06:46:14
RUN,28.337185,73.332771,1,0,0,NonM8,20-03-2026 06:47:11
RUN,28.337185,73.332771,2,0,0,NonM8,20-03-2026 06:47:19
RUN,28.337185,73.332771,3,0,0,NonM8,20-03-2026 06:47:24
RUN,28.337185,73.332771,4,0,0,NonM8,20-03-2026 06:47:59
RUN,28.337185,73.332771,5,0,0,NonM8,20-03-2026 06:48:21
RUN,28.337185,73.332771,6,0,0,NonM8,20-03-2026 06:48:26
RUN,28.337185,73.332771,7,0,0,NonM8,20-03-2026 06:48:29
RUN,28.337185,73.332771,8,0,0,NonM8,20-03-2026 06:48:39
RUN,28.337185,73.332771,9,0,0,NonM8,20-03-2026 06:48:54
RUN,28.337185,73.332771,10,0,0,NonM8,20-03-2026 06:48:57
RUN,28.337185,73.332771,11,0,0,NonM8,20-03-2026 06:49:04
RUN,28.337185,73.332771,12,0,0,NonM8,20-03-2026 06:49:08
RUN,28.337185,73.332771,13,0,0,NonM8,20-03-2026 06:49:17
RUN,28.337185,73.332771,14,0,0,NonM8,20-03-2026 06:49:21
